Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
Last Action Hero,1993,PG-13,18 Jun 1993,130 min,"Action, Adventure, Comedy",John McTiernan,"Zak Penn, Adam Leff, Shane Black","Arnold Schwarzenegger, F. Murray Abraham, Art Carney","With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",English,United States,1 win & 16 nominations,https://m.media-amazon.com/images/M/MV5BNjdhOGY1OTktYWJkZC00OGY5LWJhY2QtZmQzZDA2MzY5MmNmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.5,"160,858",tt0107362,movie,16 Apr 2012,"$50,016,394",N/A,N/A,True,
Thanksgiving,2023,R,17 Nov 2023,106 min,"Horror, Mystery, Thriller",Eli Roth,"Jeff Rendell, Eli Roth","Patrick Dempsey, Ty Olsson, Gina Gershon","After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday.",English,"United States, Canada, Australia",10 nominations,https://m.media-amazon.com/images/M/MV5BOGZhOGJjZTAtOTJmYS00ZTk2LTgxYWEtNjM3ZmUxMjY2NWFiXkEyXkFqcGdeQXVyNjU2NTI4MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"13,611",tt1448754,movie,N/A,"$31,429,920",N/A,N/A,True,
Action Jackson,1988,R,12 Feb 1988,96 min,"Action, Comedy, Crime",Craig R. Baxley,Robert Reneau,"Carl Weathers, Craig T. Nelson, Vanity",Vengeance drives a tough Detroit cop to stay on the trail of a power-hungry auto magnate who is systematically eliminating his competition.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYjc0Y2E2ZjYtZGQxNi00NDgxLTk0OTctMDAzYTg1MzFmMjI4XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.5,"12,017",tt0094612,movie,01 May 2008,"$20,256,975",N/A,N/A,True,
G.I. Joe,1985–1986,TV-Y7,16 Sep 1985,1 min,"Animation, Action, Adventure",N/A,N/A,"Jackson Beck, Christopher Collins, Michael Bell",An elite special missions force fights against the terrorist forces of Cobra.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmQyZGM4ZmEtZjBjZS00ZDg1LWI0MjAtZjQyYjY3NTY5NzllXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"5,510",tt0086719,series,,,,,True,2
Action,1999–2000,TV-MA,16 Sep 1999,30 min,Comedy,N/A,Chris Thompson,"Jay Mohr, Illeana Douglas, Jarrad Paul","A dark comedy about Peter Dragon, a sleazy Hollywood executive. His last, massively expensive, movie bombed and he needs a hit. Will ""Beverley Hills Gun Club"" be it and how far will he have to go to make it?",English,United States,3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNmYyYzVkYjAtZWIzOC00MTI1LWE1MmUtZDUxYzA1NzgzNWMyXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"1,575",tt0206467,series,,,,,True,1
Action Point,2018,R,01 Jun 2018,85 min,Comedy,Tim Kirkby,"John Altschuler, Dave Krinsky, Johnny Knoxville","Johnny Knoxville, Eleanor Worthington-Cox, Chris Pontius",A daredevil designs and operates his own theme park with his friends.,English,"United States, South Africa",N/A,https://m.media-amazon.com/images/M/MV5BMjEyMTU5MTk1N15BMl5BanBnXkFtZTgwMzIzMzczNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.1,"12,066",tt6495770,movie,14 Aug 2018,"$5,059,608",N/A,N/A,True,
An Action Hero,2022,N/A,02 Dec 2022,130 min,"Action, Comedy, Crime",Anirudh Iyer,"Anirudh Iyer, Neeraj Yadav","Ayushmann Khurrana, Jaideep Ahlawat, Neeraj Madhav","Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.",Hindi,"India, United Kingdom",4 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMDJiOTdmMGItMmM5MC00ZTRiLWIzNjctNDE4ZTZkMWMzZTg0XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"31,284",tt15600222,movie,N/A,N/A,N/A,N/A,True,
A Civil Action,1998,PG-13,08 Jan 1999,115 min,Drama,Steven Zaillian,"Jonathan Harr, Steven Zaillian","John Travolta, Robert Duvall, Kathleen Quinlan","A tenacious lawyer takes on a case involving two companies responsible for causing several children to be diagnosed with leukemia due to the town's water supply being contaminated, at the risk of bankrupting his firm and career.",English,United States,Nominated for 2 Oscars. 5 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BZmEzNjhiZWEtNTM5OS00ZmQyLThhYjEtNjY4ZDZhOGFkMzI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.6,"30,677",tt0120633,movie,01 Feb 2016,"$56,709,981",N/A,N/A,True,
Looney Tunes: Back in Action,2003,PG,14 Nov 2003,91 min,"Animation, Adventure, Comedy","Joe Dante, Eric Goldberg",Larry Doyle,"Brendan Fraser, Jenna Elfman, Steve Martin",The Looney Tunes search for a man's missing father and the mythical Blue Monkey diamond.,English,"Germany, United States",10 nominations,https://m.media-amazon.com/images/M/MV5BZDc0NTc4YTMtOTRiYS00MzQ5LTg5MDAtYWMzZTM5MjljYWViXkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,5.8,"39,852",tt0318155,movie,01 Jan 2009,"$20,991,364",N/A,N/A,True,
Legal Action,2018,TV-PG,07 Aug 2018,89 min,"Action, Crime, Drama",Brent Christy,"Shea Sizemore, Jason White","Eric Close, Nick Searcy, Tommy Flanagan","A woman asks her big shot lawyer ex-husband to defend her career criminal brother, accused of killing a DA. He'll need more than his legal skills to stay alive and win the case.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWJiNWViZTItNDI5Ni00ZDRkLWFkMGItNDI1NGFjMTM4MTg5XkEyXkFqcGdeQXVyNjAxMTI1Mzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,515,tt7656570,movie,19 Sep 2018,N/A,N/A,N/A,True,
